,label,message
0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,0,ok lar joking wif u oni
2,1,free entry wkly comp win fa cup final tkts may text fa receive entry question std txt rate c apply
3,0,u dun say early hor u c already say
4,0,nah think go usf life around though
5,1,freemsg hey darling week word back like fun still tb ok xxx std chgs send rcv
6,0,even brother like speak treat like aid patent
7,0,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
8,1,winner valued network customer selected receivea prize reward claim call claim code valid hour
9,1,mobile month u r entitled update latest colour mobile camera free call mobile update co free
10,0,gon na home soon want talk stuff anymore tonight k cried enough today
11,1,six chance win cash pound txt send cost tsandcs apply reply hl info
12,1,urgent week free membership prize jackpot txt word claim c lccltd pobox
13,0,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,0,date sunday
15,1,xxxmobilemovieclub use credit click wap link next txt message click http
16,0,oh k watching
17,0,eh u remember spell name yes v naughty make v wet
18,0,fine way u feel way gota b
19,1,england v macedonia dont miss news txt ur national team eg england try wale scotland
20,0,seriously spell name
21,0,going try month ha ha joking
22,0,ü pay first lar da stock comin
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch already
24,0,ffffffffff alright way meet sooner
25,0,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
26,0,lol always convincing
27,0,catch bus frying egg make tea eating mom left dinner feel love
28,0,back amp packing car let know room
29,0,ahhh work vaguely remember feel like lol
30,0,wait still clear sure sarcastic x want live u
31,0,yeah got v apologetic n fallen actin like spoilt child got caught till wo go badly cheer
32,0,k tell anything
33,0,fear fainting housework quick cuppa
34,1,thanks subscription ringtone uk mobile charged please confirm replying yes reply charged
35,0,yup ok go home look timing msg ü xuhui going learn may lesson
36,0,oops let know roommate done
37,0,see letter b car
38,0,anything lor u decide
39,0,hello saturday go texting see decided anything tomo trying invite anything
40,0,pls go ahead watt wanted sure great weekend abiola
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummy
42,1,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
43,0,seeing
44,0,great hope like man well endowed lt gt inch
45,0,call message missed call
46,0,get hep b immunisation nigeria
47,0,fair enough anything going
48,0,yeah hopefully tyler ca could maybe ask around bit
49,0,u know stubborn even want go hospital kept telling mark weak sucker hospital weak sucker
50,0,thinked first time saw class
51,0,gram usually run like lt gt half eighth smarter though get almost whole second gram lt gt
52,0,k fyi x ride early tomorrow morning crashing place tonight
53,0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
55,0,know mallika sherawat yesterday find lt url gt
56,1,congrats year special cinema pas call c suprman v etc free dont miss
57,0,sorry call later meeting
58,0,tell reached
59,0,yes gauti sehwag odi series
60,0,gon na pick burger way home ca even move pain killing
61,0,ha ha ha good joke girl situation seeker
62,0,part checking iq
63,0,sorry roommate took forever ok come
64,0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
65,1,valued customer pleased advise following recent review mob awarded bonus prize call
66,0,today song dedicated day song u dedicate send ur valuable frnds first rply
67,1,urgent ur awarded complimentary trip eurodisinc trav aco claim txt dis morefrmmob shracomorsglsuplt
68,1,hear new divorce barbie come ken stuff
69,0,plane give month end
70,0,wah lucky man save money hee
71,0,finished class
72,0,hi babe im home wan na something xx
73,0,k k performed
74,0,u call
75,0,waiting machan call free
76,0,thats cool gentleman treat dignity respect
77,0,like people much shy pa
78,0,operate lt gt
79,0,still looking job much ta earn
80,0,sorry call later
81,0,call ah
82,0,ok way home hi hi
83,0,place man
84,0,yup next stop
85,0,call later network urgnt sm
86,0,real u getting yo need ticket one jacket done already used multis
87,0,yes started send request make pain came back back bed double coin factory got ta cash nitros
88,0,really still tonight babe
89,0,ela kano il download come wen ur free
90,0,yeah stand close catch something
91,0,sorry pain ok meet another night spent late afternoon casualty mean done includes time sheet sorry
92,0,smile pleasure smile pain smile trouble pours like rain smile hurt u smile becoz someone still love see u smiling
93,1,please call customer service representative guaranteed cash prize
94,0,havent planning buy later check already lido got show e afternoon u finish work already
95,1,free ringtone waiting collected simply text password mix verify get usher britney fml po box
96,0,watching telugu movie wat abt u
97,0,see finish load loan pay
98,0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
99,0,see cup coffee animation
100,0,please text anymore nothing else say
101,0,okay name ur price long legal wen pick u ave x am xx
102,0,still looking car buy gone driving test yet
103,0,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
104,0,wow right mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
105,0,umma life vava umma love lot dear
106,0,thanks lot wish birthday thanks making birthday truly memorable
107,0,aight hit get cash
108,0,would ip address test considering computer minecraft server
109,0,know grumpy old people mom like better lying always one play joke
110,0,dont worry guess busy
111,0,plural noun research
112,0,going
113,0,ok wif co like try new thing scared u dun like mah co u said loud
114,1,gent trying contact last weekend draw show prize guaranteed call claim code valid
115,0,wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happened
116,0,entered cabin pa said happy bos felt special askd lunch lunch invited apartment went
117,1,winner u specially selected receive holiday flight inc speak live operator claim
118,0,goodo yes must speak friday ratio tortilla needed
119,0,hmm uncle informed paying school directly pls buy food
120,1,private account statement show unredeemed bonus point claim call identifier code expires
121,1,urgent mobile awarded bonus caller prize final try contact u call landline
122,0,new address pair malarky
123,1,today voda number ending selected receive award match please call quoting claim code standard rate app
124,0,going sao mu today done
125,0,ü predict wat time ü finish buying
126,0,good stuff
127,0,know yetunde sent money yet sent text bother sending dont involve anything imposed anything first place apologise
128,0,room
129,0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
130,0,k k much cost
131,0,home
132,0,dear call accomodate
133,0,first answer question
134,1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sp tyrone
135,1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt
136,0,haf msn yijue
137,0,call meet
138,0,check room befor activity
139,1,rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
140,0,got c lazy type forgot ü lect saw pouch like v nice
141,0,k text way
142,0,sir waiting mail
143,0,swt thought nver get tired little thing lovable person coz somtimes little thing occupy biggest part heart gud
144,0,know pls open back
145,0,yes see ya dot
146,0,whats staff name taking class u
147,1,freemsg replied text randy sexy female live local luv hear netcollex ltd per msg reply stop end
148,0,call check life begin qatar pls pray hard
149,0,k deleted contact
150,0,sindu got job birla soft
151,0,wine flowing nevering
152,0,yup thk cine better co need go plaza mah
153,0,ok ur typical reply
154,0,per request melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
155,0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done become one
156,0,aaooooright work
157,0,leaving house
158,0,hello love get interview today happy good boy think missing
159,1,customer service annoncement new year delivery waiting please call arrange delivery
160,1,winner u specially selected receive cash holiday flight inc speak live operator claim
161,0,keep safe need miss already envy everyone see real life
162,0,new car house parent new job hand
163,0,love excited day spend make happy
164,1,stop bootydelious inviting friend reply see stop send stop frnd
165,1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile menu
166,0,place ur point e culture module already
167,1,urgent trying contact last weekend draw show prize guaranteed call claim code valid
168,0,hi frnd best way avoid missunderstding wit beloved one
169,0,great escape fancy bridge need lager see tomo
170,0,yes completely form clark also utter waste
171,0,sir need axis bank account bank address
172,0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
173,0,time coming later
174,0,bloody hell cant believe forgot surname mr ill give u clue spanish begin
175,0,well gon na finish bath good fine night
176,0,let know got money carlos make call
177,0,u still going mall
178,0,turn friend staying whole show wo back til lt gt feel free go ahead smoke lt gt worth
179,0,text doesnt reply let know log
180,0,hi spoke maneesha like know satisfied experience reply toll free yes
181,0,lifted hope offer money need especially end month approach hurt studying anyways weekend
182,0,lol u trust
183,0,gentleman treat dignity respect
184,0,guy close
185,0,going nothing
186,0,hello handsome finding job lazy working towards getting back net mummy boytoy miss
187,0,haha awesome minute
188,1,please call customer service representative freephone guaranteed cash prize
189,0,got xmas radio time get
190,0,jus reached home go bathe first si using net tell u finish k
191,1,unique enough find august
192,0,sorry joined league people dont keep touch mean great deal friend time even great personal cost great
193,0,hi finally completed course
194,0,stop however suggest stay someone able give or every stool
195,0,hope settled new school year wishin day
196,0,gud mrng dear hav nice day
197,0,u got person story
198,0,hamster dead hey tmr meet orchard mrt
199,0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
200,0,found enc lt gt
201,0,sent lt gt buck
202,0,hello darlin ive finished college txt u finish u love kate xxx
203,0,account refilled successfully inr lt decimal gt keralacircle prepaid account balance r lt decimal gt transaction id kr lt gt
204,0,goodmorning sleeping ga
205,0,u call alter ok
206,0,ü say like dat dun buy ericsson oso oredi lar
207,0,entered cabin pa said happy bos felt special askd lunch lunch invited apartment went
208,0,aight yo dat straight dogg
209,0,please give u connection today lt decimal gt refund bill
210,0,shoot big load get ready
211,0,bruv hope great break rewarding semester
212,0,home always chat
213,0,k k good study well
214,0,yup ü noe leh
215,0,sound great home
216,0,finally match heading towards draw prediction
217,0,tired slept well past night
218,0,easy ah sen got selected mean good
219,0,take exam march
220,0,yeah think use gt atm register sure anyway help let know sure ready
221,0,ok prob take ur time
222,0,o called ubandu run without installing hard disk use o copy important file system give repair shop
223,0,sorry call later
224,0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
225,1,new mobile must go txt nokia collect today
226,0,would really appreciate call need someone talk
227,1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign horo aries
228,0,hey company elama po mudyadhu
229,0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy
230,0,dear good morning
231,0,get gandhipuram walk cross cut road right side lt gt street road turn first right
232,0,dear going rubber place
233,0,sorry battery died yeah
234,0,yes tv always available work place
235,1,text meet someone sexy today u find date even flirt join reply name age eg sam recd thirtyeight penny
236,0,printed oh lt gt come upstairs
237,0,ill little closer like bus stop street
238,0,wil reach
